OBJECTID,ROAD_NAME_FULL
1,MCLEOD ST
2,PRETTY ST
3,SAND RD
4,SPARKLE ST
5,KEYROCK DR
6,DUNROBIN RD
7,RUSSELL RD
8,ANDERSON RD
9,MCMURDO CRT
10,PARKGLEN DR
11,MULHOLLAND RD
12,WEYBRIDGE DR
13,RICHARDSON AVE
14,BENNINGTON ST
15,MALVERN DR
16,LONGWOOD AVE
17,BELLEVIEW DR
18,GREGOIRE RD
19,CARLING AVE
20,CONROY RD
21,GALETTA SIDE RD
22,CARLING AVE
23,BRAEMAR ST
24,ANIK WAY
25,GLAMORGAN DR
26,STONEHAVEN DR
27,BEVERLY ST
28,SPRINGBROOK DR
29,DANIEL AVE
30,WESTHILL AVE
31,CRERAR AVE
32,GOLDEN AVE
33,CLARE ST
34,BUELL ST
35,"ORLEANS, BOULEVARD D'"
36,WALLSEND AVE
37,DUGAS CRT
38,SORENTO ST
39,CAHILL DR
40,BROOKFIELD RD
41,LILLICO DR
42,DICKINSON ST
43,DWYER HILL RD
44,BASELINE RD
45,FOURTH LINE RD
46,FAIRLAWN AVE
47,RIVERSIDE DR
48,EAGLESON RD
49,SCARLET CRT
50,FINDLAY CREEK DR
51,TERRY FOX DR
52,SUMAC ST
53,PLEASANT PARK RD
54,SOUTHVALE CRES
55,CASSELS ST
56,TRENTON AVE
57,LENTINI WAY
58,MUNSTER RD
59,ANNAPOLIS CIR
60,SPRUCE ST
61,CHURCHILL AVE N
62,PINETRAIL CRES
63,VIEWMOUNT DR
64,BROADVIEW AVE
65,TRANSITWAY
66,TRANSITWAY
67,WOODROFFE AVE
68,WOODROFFE AVE
69,KENT ST
70,BRIDGE ST
71,RICHMOND RD
72,RICHMOND RD
73,OLD MONTREAL RD
74,STONEHAVEN DR
75,WENDLER TERR
76,TOONEY DR
77,SUMMERLANDS CRES
78,TOMPKINS AVE
79,TULIP CRES
80,FOREST VALLEY DR
81,ROWAN DR
82,LAWRENCE ST
83,COUSINEAU ST
84,ELLERY CRES
85,WYNRIDGE PL
86,DELAMERE DR
87,RIDEAU VALLEY DR N
88,KNOLL TERR
89,GAULTOIS AVE
90,MARCH VALLEY RD
91,WINDBROOK CRES
92,ROTHESAY DR
93,STEVENAGE DR
94,DORIS AVE
95,FEATHER SOUND TERR
96,CHIMO DR
97,POTTER DR
98,UPLANDS DR
99,CONDOR DR
100,HIGHWAY 417
101,CUMMINGS AVE
102,DEERCROFT AVE
103,HIGHWAY 417
104,BILBERRY DR
105,FOREST VALLEY DR
106,WILLOW AVE
107,MELDRUM AVE
108,CEDARCROFT CRES
109,ESPRIT DR
110,BEAUFORT DR
111,JOHNWOODS ST
112,HOBIN ST
113,CEDAROCK DR
114,BELFAST RD
115,HAZELDEAN RD
116,GALETTA SIDE RD
117,SARSFIELD RD
118,MCVAGH RD
119,ST. PETER ST
120,AMBERWOOD CRES
121,COTTONWOOD CRES
122,ARGUE DR
123,KINGSTON AVE
124,MEDHURST DR
125,PINHEY ST
